amt,zip,lat,long,city_pop,unix_time,merch_lat,merch_long,is_fraud,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel,gender_M
281.06,28611,35.9946,-81.7266,885,1325466397,36.430124,-81.17948299999999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11.52,78208,29.44,-98.459,1595797,1325468849,29.819364,-99.142791,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
276.31,78208,29.44,-98.459,1595797,1325473523,29.273085,-98.83636,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.03,28611,35.9946,-81.7266,885,1325475483,35.909292,-82.09101,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
275.73,78208,29.44,-98.459,1595797,1325476547,29.786426,-98.68341,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
844.8,28611,35.9946,-81.7266,885,1325511488,35.987802,-81.25433199999999,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
843.91,28611,35.9946,-81.7266,885,1325548328,35.985612,-81.383306,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10.76,78208,29.44,-98.459,1595797,1325552727,28.856712,-97.794207,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
332.35,78208,29.44,-98.459,1595797,1325554552,29.320662,-97.937219,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
315.34,78208,29.44,-98.459,1595797,1325560656,28.953283000000003,-97.806528,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
337.05,15665,40.3359,-79.6607,1472,1325609693,41.174382,-79.809888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
711.66,15665,40.3359,-79.6607,1472,1325614021,41.207335,-78.84093299999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
707.5,15665,40.3359,-79.6607,1472,1325628540,40.601968,-78.768636,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
942.62,28611,35.9946,-81.7266,885,1325629275,35.76589,-81.951839,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4.5,15665,40.3359,-79.6607,1472,1325631524,39.492341,-78.859114,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
821.96,28611,35.9946,-81.7266,885,1325632191,35.772593,-81.593183,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1092.68,28611,35.9946,-81.7266,885,1325633397,36.981465,-80.767836,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1254.27,28611,35.9946,-81.7266,885,1325634096,36.105024,-80.963186,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
274.09,78208,29.44,-98.459,1595797,1325634282,29.789989,-97.996197,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
