amt,zip,lat,long,city_pop,unix_time,merch_lat,merch_long,is_fraud,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel,gender_M
4.97,28654,36.0788,-81.1781,3495,1325376018,36.011293,-82.048315,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107.23,99160,48.8878,-118.2105,149,1325376044,49.159047,-118.186462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220.11,83252,42.1808,-112.262,4154,1325376051,43.150704,-112.154481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45.0,59632,46.2306,-112.1138,1939,1325376076,47.034331,-112.561071,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.96,24433,38.4207,-79.4629,99,1325376186,38.674999,-78.632459,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
94.63,18917,40.375,-75.2045,2158,1325376248,40.653382,-76.15266700000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44.54,67851,37.9931,-100.9893,2691,1325376282,37.162705,-100.15337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71.65,22824,38.8432,-78.6003,6018,1325376308,38.948089,-78.540296,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4.27,15665,40.3359,-79.6607,1472,1325376318,40.351813,-79.958146,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198.39,37040,36.522,-87.34899999999999,151785,1325376361,37.179198,-87.485381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24.74,51632,40.7491,-95.038,7297,1325376383,40.275891,-96.011548,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7.77,25442,39.3716,-77.8229,1925,1325376413,40.103866,-78.624459,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71.22,33710,27.7898,-82.7243,341043,1325376416,27.630593,-82.308891,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
96.29,96038,41.6125,-122.5258,589,1325376447,41.65752,-122.230347,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7.77,88325,32.9396,-105.8189,899,1325376543,32.863258,-106.520205,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3.26,7640,40.9918,-73.98,4664,1325376560,41.831174,-74.335559,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
